application_number,loan_assessment_date,group,default,credit_score,,,,,
119,04/03/2013,D,0,2,,,,,
120,28/02/2013,D,0,2,,,,,
122,21/02/2013,D,1,10,,,,,
128,20/04/2013,D,1,10,,,,,
131,16/01/2014,D,1,9,,,,,
132,17/03/2014,D,1,7,,,,,
136,30/03/2013,D,0,2,,,,,
137,29/04/2014,D,1,7,,,,,
138,12/01/2013,A,1,8,,,,,
142,13/12/2014,A,1,8,,,,,
143,04/01/2013,D,0,7,,,,,
145,14/11/2013,A,0,7,,,,,
146,13/02/2013,A,1,1,,,,,
147,06/11/2013,A,0,1,,,,,
148,15/04/2013,A,0,1,,,,,
151,14/11/2014,D,1,4,,,,,
152,28/02/2014,D,0,2,,,,,
153,09/09/2013,D,0,2,,,,,
154,05/09/2013,A,1,1,,,,,
156,11/04/2013,A,1,6,,,,,
157,29/08/2013,A,0,4,,,,,
158,21/02/2014,A,0,5,,,,,
159,26/02/2013,A,0,4,,,,,
160,04/12/2014,D,1,9,,,,,
163,15/08/2013,A,0,1,,,,,
166,02/03/2013,D,1,9,,,,,
169,16/01/2013,A,1,4,,,,,
171,15/02/2013,A,0,5,,,,,
173,17/11/2013,D,1,5,,,,,
174,18/11/2013,D,0,2,,,,,
175,16/03/2013,A,1,2,,,,,
176,06/09/2013,D,1,9,,,,,
177,13/11/2013,D,1,4,,,,,
178,11/01/2014,D,1,8,,,,,
180,14/10/2013,D,0,7,,,,,
183,26/02/2013,A,1,10,,,,,
184,15/11/2014,D,1,9,,,,,
187,06/12/2013,D,0,9,,,,,
189,29/07/2013,A,0,9,,,,,
190,29/12/2013,D,1,10,,,,,
192,31/03/2014,A,0,1,,,,,
193,12/08/2014,A,1,6,,,,,
194,17/09/2013,A,0,3,,,,,
195,23/12/2013,A,0,4,,,,,
197,19/11/2013,A,0,2,,,,,
199,29/08/2013,A,0,1,,,,,
202,19/12/2014,A,1,2,,,,,
203,07/02/2014,D,0,2,,,,,
206,19/11/2014,A,1,4,,,,,
208,27/01/2014,A,1,2,,,,,
210,02/01/2013,D,1,7,,,,,
213,05/09/2013,A,1,3,,,,,
215,17/01/2013,D,1,2,,,,,
216,02/04/2013,A,1,2,,,,,
218,24/04/2013,A,0,4,,,,,
220,20/11/2013,D,0,10,,,,,
222,14/05/2013,A,0,1,,,,,
223,19/04/2014,D,1,8,,,,,
224,19/12/2014,D,1,6,,,,,
225,26/12/2013,D,1,5,,,,,
227,23/10/2014,D,1,3,,,,,
228,11/01/2013,D,1,9,,,,,
229,16/04/2013,D,1,9,,,,,
231,07/12/2013,D,0,6,,,,,
232,27/01/2014,A,0,6,,,,,
234,27/04/2013,D,1,1,,,,,
238,23/04/2014,D,1,10,,,,,
241,10/03/2013,D,1,4,,,,,
242,27/06/2013,D,0,1,,,,,
243,11/02/2014,A,0,4,,,,,
244,02/05/2013,A,1,7,,,,,
245,02/03/2013,D,0,7,,,,,
246,26/09/2013,A,0,2,,,,,
248,16/05/2013,D,0,2,,,,,
249,11/02/2013,A,1,1,,,,,
251,19/03/2014,A,0,6,,,,,
252,20/04/2013,A,0,5,,,,,
254,17/09/2013,D,1,2,,,,,
258,18/02/2013,D,0,7,,,,,
260,05/02/2013,D,0,4,,,,,
262,22/04/2013,A,0,10,,,,,
263,10/09/2013,A,0,1,,,,,
265,18/03/2013,D,1,6,,,,,
268,20/09/2014,A,1,1,,,,,
269,03/03/2014,A,0,1,,,,,
272,09/09/2014,D,1,8,,,,,
275,24/04/2014,D,1,5,,,,,
277,03/02/2013,D,1,8,,,,,
278,06/01/2014,D,1,2,,,,,
280,10/07/2013,A,1,5,,,,,
281,11/06/2013,D,1,1,,,,,
282,17/02/2014,A,1,4,,,,,
286,28/08/2013,D,1,10,,,,,
287,24/12/2013,D,1,9,,,,,
288,02/03/2014,A,1,4,,,,,
289,14/11/2014,D,1,9,,,,,
291,01/02/2013,A,0,3,,,,,
293,26/04/2014,D,1,3,,,,,
294,31/01/2014,D,1,2,,,,,
297,21/08/2013,D,0,4,,,,,
299,16/09/2013,A,0,1,,,,,
300,08/11/2013,A,0,3,,,,,
301,06/01/2013,A,0,4,,,,,
302,13/07/2014,D,1,9,,,,,
306,18/04/2013,D,1,10,,,,,
308,26/03/2013,D,0,2,,,,,
310,29/10/2013,D,0,8,,,,,
311,26/03/2013,A,1,5,,,,,
313,10/10/2013,A,1,9,,,,,
315,20/03/2013,D,0,1,,,,,
316,26/02/2014,A,0,4,,,,,
317,02/01/2013,D,0,9,,,,,
319,20/03/2013,A,1,1,,,,,
320,19/02/2013,D,0,9,,,,,
321,31/10/2013,D,0,5,,,,,
322,10/01/2013,D,0,6,,,,,
325,20/03/2013,A,0,1,,,,,
326,13/01/2014,A,1,1,,,,,
327,31/10/2013,A,0,2,,,,,
330,13/01/2013,D,0,1,,,,,
331,17/04/2013,A,1,3,,,,,
332,13/05/2013,D,0,7,,,,,
333,05/11/2013,D,0,6,,,,,
334,24/04/2013,D,1,10,,,,,
335,17/02/2013,D,1,1,,,,,
337,07/05/2013,D,0,9,,,,,
338,09/05/2013,D,0,9,,,,,
341,29/07/2014,D,1,4,,,,,
344,25/01/2014,D,0,1,,,,,
345,16/05/2013,A,0,1,,,,,
347,20/02/2013,A,1,4,,,,,
348,04/02/2014,D,0,4,,,,,
349,17/05/2013,A,0,1,,,,,
350,06/08/2014,D,1,9,,,,,
351,27/09/2013,A,0,5,,,,,
354,22/02/2013,D,0,4,,,,,
355,05/03/2013,D,0,2,,,,,
357,31/12/2014,A,1,8,,,,,
358,19/04/2014,A,1,2,,,,,
359,17/12/2013,D,0,9,,,,,
360,11/09/2013,D,0,8,,,,,
361,16/01/2013,A,0,1,,,,,
362,10/12/2013,D,1,8,,,,,
363,11/04/2013,A,1,5,,,,,
364,06/09/2013,D,0,3,,,,,
366,31/01/2013,A,1,8,,,,,
374,11/03/2014,A,1,7,,,,,
375,12/02/2014,A,0,2,,,,,
376,18/03/2014,D,1,9,,,,,
377,30/09/2013,A,1,7,,,,,
378,09/07/2014,D,1,2,,,,,
382,12/03/2014,A,1,5,,,,,
384,01/04/2014,D,0,3,,,,,
385,18/11/2013,D,1,8,,,,,
386,14/02/2013,D,1,6,,,,,
390,07/08/2013,D,0,4,,,,,
392,16/07/2013,A,1,4,,,,,
393,03/12/2013,D,0,1,,,,,
396,19/02/2014,D,0,8,,,,,
399,02/08/2013,D,0,1,,,,,
400,02/08/2014,D,1,4,,,,,
402,13/11/2013,D,0,2,,,,,
403,26/07/2013,D,1,6,,,,,
404,20/04/2013,A,0,5,,,,,
405,08/04/2013,A,1,6,,,,,
406,02/10/2014,D,1,7,,,,,
407,11/01/2013,D,1,10,,,,,
408,31/12/2013,A,0,3,,,,,
409,24/01/2014,D,0,10,,,,,
410,06/09/2013,A,0,4,,,,,
411,05/08/2013,D,0,3,,,,,
415,11/04/2013,D,0,7,,,,,
416,10/12/2013,D,1,6,,,,,
417,05/04/2013,D,0,1,,,,,
423,05/03/2014,A,0,1,,,,,
424,20/06/2014,D,1,4,,,,,
425,18/04/2013,A,0,1,,,,,
426,01/07/2014,A,1,2,,,,,
428,01/05/2013,A,0,4,,,,,
429,04/03/2013,D,1,9,,,,,
430,15/07/2014,D,1,8,,,,,
432,20/01/2014,A,0,4,,,,,
434,11/12/2014,D,1,5,,,,,
435,04/12/2013,D,0,4,,,,,
437,27/02/2014,A,1,5,,,,,
438,31/01/2013,D,1,4,,,,,
439,25/10/2013,D,0,1,,,,,
440,05/11/2013,D,1,3,,,,,
442,30/06/2014,A,1,3,,,,,
445,23/02/2013,A,0,3,,,,,
446,01/01/2013,D,0,6,,,,,
450,09/08/2013,D,1,5,,,,,
451,06/12/2013,D,1,8,,,,,
452,05/01/2013,A,0,1,,,,,
454,24/04/2013,D,1,8,,,,,
456,02/12/2013,A,0,3,,,,,
459,01/12/2013,D,0,1,,,,,
462,08/04/2013,D,0,1,,,,,
463,02/01/2014,A,1,1,,,,,
464,18/02/2013,A,1,3,,,,,
465,28/05/2013,A,0,2,,,,,
468,14/01/2014,D,0,2,,,,,
469,19/08/2014,D,1,10,,,,,
474,22/03/2014,A,0,1,,,,,
475,11/12/2013,A,0,1,,,,,
478,25/04/2013,D,0,9,,,,,
480,11/01/2014,D,1,9,,,,,
481,03/10/2013,A,0,1,,,,,
484,22/02/2013,A,0,5,,,,,
485,26/03/2013,D,1,9,,,,,
487,11/12/2014,A,1,6,,,,,
489,04/10/2013,A,1,3,,,,,
493,13/03/2013,D,0,1,,,,,
495,06/05/2013,D,0,7,,,,,
496,11/01/2013,A,1,4,,,,,
499,03/03/2014,A,0,5,,,,,
500,25/04/2013,D,1,8,,,,,
501,23/12/2013,A,0,3,,,,,
502,13/03/2014,D,0,3,,,,,
503,06/09/2013,D,1,6,,,,,
505,02/03/2014,D,0,1,,,,,
509,22/03/2013,A,0,6,,,,,
512,18/12/2013,D,0,6,,,,,
516,16/02/2013,D,1,9,,,,,
517,31/01/2014,D,0,6,,,,,
518,25/03/2013,D,0,3,,,,,
522,25/02/2014,A,0,1,,,,,
523,13/09/2014,D,1,10,,,,,
526,21/02/2013,A,0,6,,,,,
527,31/01/2013,A,0,1,,,,,
530,07/11/2013,A,0,6,,,,,
531,07/10/2013,D,1,10,,,,,
532,09/12/2013,A,0,4,,,,,
533,24/04/2013,D,1,5,,,,,
537,15/10/2013,D,0,5,,,,,
538,30/01/2013,D,1,4,,,,,
540,14/10/2013,A,0,1,,,,,
541,05/02/2013,D,0,10,,,,,
542,06/05/2013,D,1,10,,,,,
547,04/05/2013,A,0,4,,,,,
548,17/06/2013,D,1,3,,,,,
552,09/09/2013,A,1,6,,,,,
553,08/05/2013,D,0,8,,,,,
557,22/10/2013,D,1,9,,,,,
558,09/10/2014,D,1,5,,,,,
561,04/02/2014,A,0,1,,,,,
563,08/04/2014,A,1,1,,,,,
565,30/03/2014,A,1,7,,,,,
566,25/02/2014,D,1,8,,,,,
567,22/12/2013,A,0,1,,,,,
569,14/12/2013,D,0,4,,,,,
572,12/06/2013,D,0,1,,,,,
573,03/04/2013,D,0,3,,,,,
574,28/02/2014,A,0,4,,,,,
576,23/04/2013,D,1,8,,,,,
579,05/02/2013,D,1,9,,,,,
580,12/08/2013,A,0,7,,,,,
581,17/03/2013,D,1,9,,,,,
584,16/05/2013,D,0,5,,,,,
586,07/08/2013,D,0,1,,,,,
587,11/02/2014,D,0,1,,,,,
588,16/08/2013,D,1,4,,,,,
590,09/02/2013,A,1,8,,,,,
594,25/03/2013,A,0,1,,,,,
597,16/04/2013,D,1,8,,,,,
598,13/02/2013,D,1,9,,,,,
599,22/12/2013,A,0,3,,,,,
601,08/05/2014,A,1,10,,,,,
602,01/02/2013,D,1,7,,,,,
603,05/04/2013,D,0,5,,,,,
604,01/01/2013,D,1,9,,,,,
605,27/03/2013,D,0,7,,,,,
608,27/03/2013,A,0,2,,,,,
609,08/10/2013,A,0,1,,,,,
611,04/01/2013,D,0,3,,,,,
612,04/09/2013,D,1,8,,,,,
613,29/05/2014,A,1,1,,,,,
616,07/02/2013,D,0,2,,,,,
622,20/06/2013,A,0,6,,,,,
623,19/10/2013,A,0,1,,,,,
624,24/08/2013,D,0,7,,,,,
625,20/08/2013,D,1,2,,,,,
627,19/04/2013,D,0,6,,,,,
628,31/07/2014,A,1,2,,,,,
630,09/02/2014,A,0,3,,,,,
633,29/04/2013,A,0,1,,,,,
635,26/01/2014,D,1,3,,,,,
637,26/06/2013,A,1,5,,,,,
638,10/01/2013,D,1,6,,,,,
640,11/08/2013,D,1,7,,,,,
641,03/11/2014,A,1,6,,,,,
643,02/12/2013,D,0,10,,,,,
644,20/01/2013,D,1,7,,,,,
645,14/02/2013,D,0,7,,,,,
647,18/01/2013,A,0,4,,,,,
648,21/11/2014,D,1,5,,,,,
649,19/08/2013,A,0,1,,,,,
651,12/04/2013,D,0,4,,,,,
653,13/11/2013,A,1,8,,,,,
654,09/12/2013,A,0,1,,,,,
656,07/01/2013,D,0,6,,,,,
657,19/01/2014,D,1,10,,,,,
659,28/07/2014,A,1,10,,,,,
660,15/10/2013,A,0,1,,,,,
662,26/04/2013,A,0,5,,,,,
664,13/05/2013,A,0,1,,,,,
669,05/03/2014,D,1,10,,,,,
674,24/09/2013,D,1,2,,,,,
675,22/01/2013,A,0,1,,,,,
678,05/03/2014,D,0,2,,,,,
679,19/03/2013,D,0,1,,,,,
680,30/11/2013,D,0,3,,,,,
681,13/12/2013,A,0,1,,,,,
684,02/10/2013,D,0,2,,,,,
685,27/10/2014,D,1,10,,,,,
686,12/09/2013,A,1,1,,,,,
688,17/04/2013,D,1,8,,,,,
689,07/08/2013,D,0,8,,,,,
691,16/10/2013,D,1,6,,,,,
692,30/10/2014,D,1,5,,,,,
693,25/10/2013,A,1,5,,,,,
694,16/02/2014,A,1,4,,,,,
697,12/11/2014,D,1,3,,,,,
700,05/03/2013,D,1,9,,,,,
701,11/09/2013,D,0,10,,,,,
703,12/12/2013,A,0,1,,,,,
704,17/04/2013,D,0,1,,,,,
707,20/04/2013,D,1,6,,,,,
708,29/06/2014,D,1,9,,,,,
709,15/10/2014,D,1,7,,,,,
711,13/07/2014,D,1,9,,,,,
712,16/01/2014,D,0,1,,,,,
713,24/11/2013,D,1,6,,,,,
715,15/12/2014,A,1,5,,,,,
716,10/03/2014,D,0,2,,,,,
718,19/11/2013,D,1,10,,,,,
720,04/02/2013,A,0,1,,,,,
722,30/05/2013,A,0,2,,,,,
724,26/02/2014,A,0,1,,,,,
726,24/12/2014,A,1,6,,,,,
727,03/09/2013,A,0,1,,,,,
729,25/02/2013,A,1,1,,,,,
737,16/04/2014,A,1,9,,,,,
738,06/11/2013,A,1,9,,,,,
739,10/04/2013,D,0,9,,,,,
743,13/02/2013,D,0,2,,,,,
745,06/09/2013,A,0,2,,,,,
750,01/10/2013,A,1,9,,,,,
752,26/03/2014,A,1,4,,,,,
753,18/02/2013,D,0,1,,,,,
754,13/11/2013,D,1,4,,,,,
756,11/10/2013,A,0,1,,,,,
757,27/03/2013,D,0,5,,,,,
760,25/09/2014,D,1,7,,,,,
762,21/02/2013,A,1,3,,,,,
765,21/12/2013,D,1,6,,,,,
769,09/03/2013,A,0,5,,,,,
770,22/04/2013,A,0,1,,,,,
771,03/10/2013,A,0,2,,,,,
774,12/08/2013,D,0,7,,,,,
775,03/02/2014,A,0,3,,,,,
779,16/05/2013,D,0,2,,,,,
785,27/10/2013,D,0,2,,,,,
786,14/01/2014,A,0,1,,,,,
789,08/10/2013,D,0,3,,,,,
790,23/04/2013,D,0,4,,,,,
793,06/11/2014,D,1,7,,,,,
794,11/06/2014,D,1,5,,,,,
796,10/04/2013,A,0,2,,,,,
798,02/03/2013,A,1,7,,,,,
800,08/02/2013,D,1,8,,,,,
803,21/01/2014,D,0,5,,,,,
804,18/10/2014,D,1,4,,,,,
805,15/05/2014,A,1,4,,,,,
806,02/01/2013,A,0,2,,,,,
807,20/01/2013,A,0,9,,,,,
808,19/10/2013,A,1,4,,,,,
810,13/06/2014,D,1,3,,,,,
812,17/08/2013,D,0,2,,,,,
813,13/04/2014,D,1,4,,,,,
814,21/01/2014,A,1,1,,,,,
815,07/04/2014,A,1,3,,,,,
818,08/12/2013,A,0,3,,,,,
821,25/04/2013,D,0,7,,,,,
823,09/02/2014,D,1,7,,,,,
825,09/09/2013,A,1,10,,,,,
829,15/07/2014,A,1,10,,,,,
831,20/03/2013,A,0,1,,,,,
835,21/03/2014,D,1,9,,,,,
837,17/11/2013,A,1,6,,,,,
838,29/01/2013,D,0,3,,,,,
840,17/04/2013,D,0,5,,,,,
841,13/12/2013,A,0,2,,,,,
843,03/10/2013,D,0,5,,,,,
844,22/05/2013,D,0,6,,,,,
847,25/01/2013,D,1,6,,,,,
849,30/10/2013,D,1,3,,,,,
850,15/05/2013,D,1,5,,,,,
851,31/01/2014,A,0,1,,,,,
852,18/11/2013,D,1,7,,,,,
853,03/02/2013,D,0,3,,,,,
855,27/05/2013,D,0,1,,,,,
856,22/10/2013,A,0,6,,,,,
857,25/02/2014,D,1,8,,,,,
858,06/11/2013,D,0,3,,,,,
859,24/04/2013,D,0,5,,,,,
861,23/01/2014,A,1,4,,,,,
863,15/09/2013,A,0,4,,,,,
867,22/12/2013,D,1,4,,,,,
869,07/09/2013,A,0,3,,,,,
870,30/10/2013,D,1,2,,,,,
871,06/02/2013,A,0,1,,,,,
872,24/01/2014,D,1,7,,,,,
875,28/05/2013,D,0,3,,,,,
879,17/05/2013,A,0,4,,,,,
881,21/01/2014,A,1,1,,,,,
882,15/12/2014,A,1,1,,,,,
883,01/04/2014,A,1,6,,,,,
884,14/08/2013,A,1,1,,,,,
886,21/08/2013,A,0,1,,,,,
887,04/03/2013,D,1,6,,,,,
888,22/01/2014,A,0,3,,,,,
889,24/03/2013,A,0,4,,,,,
891,28/11/2014,D,1,10,,,,,
897,26/02/2013,D,1,7,,,,,
898,07/03/2013,D,1,8,,,,,
899,17/03/2013,D,1,3,,,,,
900,04/11/2013,A,0,7,,,,,
901,13/01/2013,D,0,2,,,,,
906,22/09/2013,A,0,5,,,,,
909,29/01/2014,D,0,3,,,,,
913,12/07/2013,D,1,8,,,,,
914,02/12/2014,D,1,7,,,,,
915,08/10/2013,D,1,5,,,,,
916,18/01/2013,D,0,2,,,,,
917,10/12/2014,D,1,10,,,,,
918,16/04/2013,D,0,1,,,,,
921,04/03/2013,D,0,7,,,,,
922,15/05/2014,A,1,6,,,,,
923,06/11/2013,D,0,1,,,,,
924,09/10/2013,A,0,1,,,,,
925,18/04/2013,A,0,1,,,,,
926,25/08/2014,D,1,7,,,,,
927,06/09/2013,A,0,1,,,,,
930,26/07/2014,D,1,8,,,,,
934,09/04/2013,D,1,5,,,,,
935,01/12/2013,A,0,1,,,,,
943,23/10/2013,A,1,2,,,,,
944,03/01/2014,D,0,3,,,,,
945,18/10/2013,D,0,8,,,,,
946,27/04/2013,D,1,3,,,,,
947,24/02/2013,A,0,10,,,,,
948,20/01/2013,D,0,5,,,,,
949,25/10/2014,A,1,10,,,,,
951,01/10/2013,D,0,1,,,,,
953,10/03/2014,D,0,1,,,,,
955,08/04/2013,D,1,6,,,,,
956,09/10/2013,D,1,10,,,,,
959,07/10/2014,D,1,9,,,,,
960,22/03/2013,A,1,7,,,,,
962,24/08/2013,A,0,9,,,,,
963,25/12/2013,A,0,5,,,,,
964,25/04/2013,A,1,5,,,,,
965,06/02/2014,D,0,1,,,,,
967,09/04/2013,D,1,9,,,,,
968,14/09/2014,A,1,3,,,,,
971,10/09/2014,D,1,2,,,,,
973,22/05/2014,A,1,4,,,,,
975,27/02/2014,D,0,3,,,,,
977,05/12/2013,D,0,8,,,,,
978,15/01/2013,D,0,2,,,,,
979,08/07/2014,A,1,10,,,,,
983,10/12/2013,A,1,4,,,,,
986,05/08/2014,A,1,4,,,,,
987,22/02/2014,D,1,8,,,,,
988,14/04/2013,D,0,6,,,,,
990,09/01/2014,A,0,6,,,,,
991,07/03/2013,D,0,7,,,,,
993,19/07/2013,A,1,2,,,,,
995,23/11/2013,D,1,8,,,,,
996,03/02/2014,D,1,4,,,,,
997,13/05/2014,D,1,2,,,,,
998,05/09/2013,D,1,7,,,,,
999,10/07/2014,A,1,1,,,,,
1000,05/11/2014,D,1,10,,,,,
1001,03/02/2014,D,0,9,,,,,
1002,01/10/2013,D,0,7,,,,,
1003,04/09/2014,D,1,9,,,,,
1005,11/04/2014,D,1,2,,,,,
1006,19/01/2014,D,0,4,,,,,
1007,05/08/2013,D,0,3,,,,,
1008,17/06/2013,A,0,1,,,,,
1014,12/12/2013,D,0,5,,,,,
1015,22/01/2014,D,0,4,,,,,
1017,21/01/2014,A,0,5,,,,,
1018,10/04/2013,D,0,7,,,,,
1022,31/01/2014,D,0,1,,,,,
1023,28/02/2014,A,0,3,,,,,
1024,27/09/2013,D,0,2,,,,,
1025,14/10/2013,D,1,7,,,,,
1026,02/10/2014,D,1,9,,,,,
1027,04/04/2013,D,0,9,,,,,
1030,26/04/2013,A,0,2,,,,,
1031,14/08/2014,A,1,9,,,,,
1034,14/01/2013,D,1,10,,,,,
1036,27/04/2013,D,0,4,,,,,
1038,28/07/2014,A,1,1,,,,,
1039,06/12/2013,D,1,9,,,,,
1041,15/11/2013,D,0,2,,,,,
1043,22/08/2013,D,0,7,,,,,
1044,25/09/2013,D,0,5,,,,,
1046,04/09/2013,D,0,5,,,,,
1048,09/10/2013,D,1,8,,,,,
1049,03/05/2013,A,0,1,,,,,
1051,18/03/2013,D,1,2,,,,,
1054,14/01/2014,D,0,10,,,,,
1055,19/08/2013,D,1,8,,,,,
1056,16/12/2014,A,1,5,,,,,
1057,30/04/2014,D,1,7,,,,,
1058,05/05/2013,D,0,4,,,,,
1059,21/09/2013,D,0,6,,,,,
1060,19/12/2013,D,0,1,,,,,
1061,27/02/2013,D,0,1,,,,,
1062,24/03/2013,D,0,3,,,,,
1063,25/02/2014,D,1,6,,,,,
1065,22/08/2013,D,1,8,,,,,
1066,12/02/2013,A,0,2,,,,,
1068,03/01/2013,A,1,3,,,,,
1069,21/03/2014,A,0,1,,,,,
1070,23/05/2013,D,0,6,,,,,
1072,02/02/2014,D,0,1,,,,,
1076,12/02/2013,A,0,8,,,,,
1077,05/02/2013,D,1,5,,,,,
1079,09/07/2013,D,1,1,,,,,
1081,10/04/2013,D,0,1,,,,,
1082,29/09/2013,D,1,8,,,,,
1084,29/04/2013,D,0,1,,,,,
1086,28/02/2014,D,0,5,,,,,
1087,13/02/2014,A,1,2,,,,,
1088,10/01/2013,A,0,1,,,,,
1089,29/10/2013,A,1,1,,,,,
1093,14/01/2013,A,0,2,,,,,
1094,13/12/2014,A,1,2,,,,,
1096,08/01/2013,A,0,1,,,,,
1097,20/02/2014,A,0,2,,,,,
1099,02/03/2013,A,0,3,,,,,
1103,12/11/2013,D,0,8,,,,,
1105,07/11/2013,A,1,4,,,,,
1106,29/01/2013,A,0,1,,,,,
1107,26/04/2013,A,1,4,,,,,
1109,07/09/2014,D,1,4,,,,,
1110,05/01/2013,D,1,10,,,,,
1111,01/04/2013,D,0,6,,,,,
1118,01/10/2013,A,0,1,,,,,
1119,13/03/2014,D,1,9,,,,,
1120,07/04/2013,D,0,8,,,,,
1121,25/04/2013,D,0,2,,,,,
1122,18/07/2013,D,0,3,,,,,
1123,09/09/2013,D,0,9,,,,,
1125,12/05/2014,D,1,7,,,,,
1127,05/03/2013,D,0,2,,,,,
1128,05/01/2013,A,0,5,,,,,
1130,17/11/2014,A,1,5,,,,,
1131,14/02/2013,D,1,10,,,,,
1132,23/10/2013,A,0,1,,,,,
1135,13/01/2014,A,0,3,,,,,
1136,02/02/2013,D,1,5,,,,,
1138,03/01/2014,D,0,9,,,,,
1140,17/05/2013,D,0,1,,,,,
1141,12/01/2013,D,0,9,,,,,
1142,11/01/2014,D,0,5,,,,,
1143,07/09/2014,D,1,5,,,,,
1144,13/08/2013,D,0,5,,,,,
1145,12/12/2014,D,1,5,,,,,
1146,25/04/2013,D,1,7,,,,,
1150,09/10/2013,D,1,10,,,,,
1153,01/01/2014,A,1,8,,,,,
1156,07/03/2014,D,0,2,,,,,
1158,15/08/2013,A,1,2,,,,,
1159,23/09/2013,D,0,1,,,,,
1160,05/05/2013,D,1,7,,,,,
1162,27/08/2014,D,1,7,,,,,
1163,04/01/2013,D,1,6,,,,,
1166,11/03/2014,D,1,9,,,,,
1167,10/10/2013,D,0,3,,,,,
1169,20/05/2013,D,0,4,,,,,
1172,22/09/2013,D,0,2,,,,,
1173,27/11/2013,D,1,6,,,,,
1176,28/05/2013,A,0,2,,,,,
1177,24/02/2014,A,0,1,,,,,
1179,31/03/2013,D,0,2,,,,,
1181,24/08/2013,D,0,5,,,,,
1186,13/08/2013,A,1,4,,,,,
1187,15/10/2014,A,1,9,,,,,
1191,12/08/2013,A,1,4,,,,,
1192,11/10/2013,D,0,6,,,,,
1193,30/12/2013,A,0,7,,,,,
1195,09/01/2014,D,0,7,,,,,
1196,01/01/2013,A,0,1,,,,,
1197,21/10/2014,D,1,9,,,,,
1198,10/05/2013,A,0,3,,,,,
1200,26/01/2014,D,1,5,,,,,
1202,20/10/2013,D,1,9,,,,,
1205,24/10/2013,D,0,1,,,,,
1207,14/05/2013,A,1,5,,,,,
1208,23/05/2013,A,0,3,,,,,
1209,12/03/2014,A,0,4,,,,,
1212,12/08/2013,D,1,5,,,,,
1213,13/01/2014,D,0,2,,,,,
1216,15/10/2013,A,0,6,,,,,
1217,11/01/2013,D,1,2,,,,,
1219,17/01/2014,D,0,2,,,,,
1220,13/01/2013,D,0,3,,,,,
1222,16/08/2013,D,1,10,,,,,
1223,07/01/2013,A,1,6,,,,,
1225,23/09/2014,D,1,1,,,,,
1228,13/02/2014,A,0,5,,,,,
1229,11/02/2014,D,0,6,,,,,
1230,22/03/2014,D,0,3,,,,,
1231,28/09/2013,A,0,2,,,,,
1233,20/08/2013,A,0,4,,,,,
1234,16/09/2013,D,0,6,,,,,
1235,20/03/2013,D,1,7,,,,,
1237,08/03/2013,D,0,5,,,,,
1238,17/08/2014,A,1,3,,,,,
